index,true_label,seed_pred_a,seed_pred_b,final_pred_a,final_pred_b,before_cov,after_cov,linf,l2,success
2,ship,ship,automobile,ship,automobile,0.410971,0.416353,0.030000,1.541557,1
15,ship,ship,frog,ship,frog,0.401637,0.398702,0.030000,1.565279,1
25,bird,bird,deer,bird,deer,0.404328,0.409654,0.030000,1.571853,1
32,deer,frog,deer,frog,deer,0.418047,0.422356,0.030000,1.589355,1
35,bird,cat,bird,cat,bird,0.395559,0.398438,0.030000,1.557079,1
47,truck,airplane,truck,airplane,truck,0.410501,0.411573,0.030000,1.569919,1
56,horse,horse,deer,horse,deer,0.400358,0.405326,0.030000,1.601287,1
57,horse,cat,horse,cat,horse,0.382198,0.386131,0.030000,1.516706,1
58,deer,horse,dog,horse,dog,0.385642,0.383609,0.030000,1.561153,1
76,truck,truck,airplane,truck,airplane,0.395390,0.398702,0.030000,1.522004,1
86,bird,bird,cat,bird,cat,0.398532,0.399981,0.030000,1.565893,1
91,cat,bird,cat,bird,cat,0.394035,0.395465,0.030000,1.556887,1
95,frog,cat,frog,cat,frog,0.395295,0.396650,0.030000,1.608236,1
118,bird,frog,bird,frog,bird,0.398796,0.401204,0.030000,1.439827,1
125,airplane,truck,airplane,truck,airplane,0.397911,0.405420,0.030000,1.478504,1
139,truck,automobile,airplane,automobile,airplane,0.421998,0.414283,0.030000,1.373535,1
147,bird,frog,dog,frog,dog,0.390516,0.388690,0.030000,1.571471,1
150,ship,ship,airplane,ship,airplane,0.403293,0.407508,0.030000,1.563377,1
158,dog,dog,cat,dog,cat,0.389688,0.392360,0.030000,1.558516,1
188,deer,cat,bird,cat,bird,0.389368,0.396782,0.030000,1.523827,1
